game,status,action_space,discrete_actions,click_pct,levels_reached,change_rate,cells_changed_med,cells_changed_p95,cells_ever_changed,click_changes_clicked_cell,click_to_change_dist_med,transitions,reset_overhead,model_ms_med
sk48-d8078629,ok,,,,,,,,,,,,,
su15-1944f8ab,ok,,,,,,,,,,,,,
lp85-305b61c3,ok,click-only,-,100.0,0,0.164,41.0,293.0,1550,0.006,4.0,991,9,1.5
m0r0-492f87ba,ok,mixed,"A1,A2,A3,A4,A5",12.3,0,0.803,66.0,102.0,4065,0.0,35.5,989,11,2.0
lf52-271a04aa,ok,,,,,,,,,,,,,
tn36-ef4dde99,ok,click-only,-,100.0,0,1.0,1.0,1.0,87,0.007,50.0,967,33,1.4
ft09-0d8bbf25,ok,click-only,-,100.0,0,0.296,38.0,38.0,350,1.0,0.0,981,19,1.6
ka59-38d34dbb,ok,mixed,"A1,A2,A3,A4",12.6,0,0.913,19.0,19.0,387,0.0,47.0,981,19,1.7
ar25-0c556536,ok,,,,,,,,,,,,,
tu93-0768757b,ok,keyboard-only,"A1,A2,A3,A4",0.0,0,1.0,2.0,20.0,189,,,961,39,1.8
re86-8af5384d,ok,keyboard-only,"A1,A2,A3,A4,A5",0.0,0,1.0,53.0,61.0,1856,,,981,19,1.9
cn04-2fe56bfb,ok,mixed,"A1,A2,A3,A4,A5",11.8,0,0.854,163.0,234.0,2822,0.13,43.0,973,27,1.9
s5i5-18d95033,ok,click-only,-,100.0,0,1.0,1.0,2.0,128,0.001,51.0,961,39,1.7
sb26-7fbdac44,ok,,,,,,,,,,,,,
sp80-589a99af,ok,mixed,"A1,A2,A3,A4,A5",16.8,0,1.0,33.0,162.0,3088,0.025,50.0,935,65,1.8
bp35-0a0ad940,ok,,,,,,,,,,,,,
ls20-9607627b,ok,keyboard-only,"A1,A2,A3,A4",0.0,0,0.997,52.0,52.0,1008,,,985,15,1.8
dc22-fdcac232,ok,mixed,"A1,A2,A3,A4",15.0,0,0.806,8.0,9.0,236,0.0,53.0,985,15,1.8
vc33-5430563c,ok,click-only,-,100.0,0,1.0,1.0,2.0,563,0.0,53.0,961,39,1.6
sc25-635fd71a,ok,mixed,"A1,A2,A3,A4",7.3,0,0.869,16.0,36.0,253,,,965,35,1.5
cd82-fb555c5d,ok,mixed,"A1,A2,A3,A4,A5",12.9,0,0.797,200.0,201.0,1086,0.0,57.0,981,19,1.5
g50t-5849a774,ok,keyboard-only,"A1,A2,A3,A4,A5",0.0,0,0.799,49.0,96.0,432,,,985,15,1.7
tr87-cd924810,ok,keyboard-only,"A1,A2,A3,A4",0.0,0,1.0,28.0,29.0,243,,,985,15,1.4
wa30-ee6fef47,ok,keyboard-only,"A1,A2,A3,A4,A5",0.0,0,0.92,32.0,44.0,3196,,,991,9,1.5
r11l-495a7899,ok,click-only,-,100.0,0,1.0,99.0,146.0,3699,0.677,0.0,937,63,1.5
